Desempregados,Empregados,Pensionistas,Analfabetos,1Ciclo,2Ciclo,3Ciclo,EnsinoSec,EnsinoPosSec,CursoSup,M
0,0,0,0,0,0,0,0,0,0,0
9,211,81,0,36,31,39,62,4,217,1
13,151,97,1,36,21,43,56,1,160,1
6,60,96,5,43,19,38,36,0,43,1
11,74,110,3,66,28,44,46,5,34,1
37,212,129,3,58,42,78,89,7,183,1
14,192,119,3,49,34,61,80,2,151,1
14,221,83,1,41,21,50,75,4,198,1
32,236,155,3,75,35,93,106,4,169,1
5,82,27,0,13,5,17,26,5,71,1
15,158,94,2,55,28,46,55,2,128,1
15,129,184,2,95,31,73,66,4,95,1
4,44,38,1,21,4,25,31,1,17,1
24,199,74,2,36,20,45,74,4,160,1
2,24,29,3,15,7,11,14,2,10,1
5,24,8,0,9,3,8,11,1,19,0
0,10,4,0,2,2,0,1,2,6,1
22,301,141,2,60,48,87,127,10,238,1
27,173,204,14,155,54,65,75,10,55,1
25,169,253,19,129,38,103,104,4,106,1
15,182,111,7,73,30,42,57,4,138,1
0,22,25,1,11,5,4,13,0,18,1
5,15,22,0,16,1,8,11,2,5,1
34,229,242,8,141,47,77,119,13,147,1
31,179,155,19,116,52,71,80,5,84,1
20,116,90,3,60,18,35,57,6,77,1
8,73,86,7,61,18,32,27,2,27,1
22,148,187,4,61,27,74,78,3,142,1
6,97,112,3,34,11,42,48,6,99,1
20,146,122,9,87,32,59,57,4,79,1
23,247,214,9,99,55,131,101,11,139,1
17,125,125,6,67,23,52,62,3,88,1
5,145,16,0,15,8,24,33,3,118,1
12,128,115,7,60,28,57,66,2,86,1
9,131,101,1,40,30,37,53,6,105,1
22,114,122,1,84,23,59,74,2,55,1
20,95,93,3,64,25,38,41,4,73,1
10,57,55,2,29,25,26,30,1,31,1
4,46,47,2,34,10,14,19,2,23,1
7,49,43,0,16,10,18,22,0,41,1
0,11,7,0,3,2,0,4,0,12,0
0,21,14,2,7,6,3,13,0,15,1
5,19,22,2,15,2,9,12,1,21,0
6,118,86,1,27,12,44,50,1,141,1
4,65,21,1,12,8,15,15,0,67,1
4,58,61,0,12,11,30,24,3,63,1
39,375,321,8,120,59,128,200,12,316,1
19,190,163,3,70,37,80,89,5,145,1
20,189,173,3,51,29,65,74,1,222,1
38,270,238,11,129,58,116,119,6,205,1
0,1,0,0,1,0,0,0,0,0,0
3,34,24,0,8,6,11,16,1,32,1
5,16,18,2,10,6,5,4,1,18,1
0,19,9,1,3,4,9,8,1,9,1
14,120,88,0,20,20,47,63,6,134,1
24,177,151,2,87,39,66,78,8,112,1
16,220,113,6,70,35,64,76,3,194,1
0,11,6,0,4,2,5,2,0,10,0
7,15,26,2,8,9,11,13,1,14,1
4,51,31,1,11,4,20,33,1,28,1
0,0,0,0,0,0,0,0,0,0,0
11,66,54,0,34,19,28,30,3,34,1
6,45,28,1,18,11,14,18,0,31,1
2,14,15,0,9,4,8,7,0,10,1
6,26,8,3,12,6,14,12,0,15,0
7,71,69,1,15,8,31,47,0,82,1
2,16,10,0,2,3,6,8,2,14,1
1,17,13,0,8,5,11,7,0,10,1
1,16,4,1,4,0,3,6,0,15,1
3,61,62,1,21,3,19,29,0,66,1
15,102,39,1,20,19,30,34,2,87,1
9,129,66,0,16,21,36,53,2,123,1
9,60,58,0,20,12,16,22,0,81,1
2,32,13,1,4,4,6,6,1,35,1
4,23,6,0,2,3,7,9,1,18,0
4,33,22,0,13,9,9,8,1,33,1
2,10,26,7,14,3,4,6,0,11,1
2,37,21,2,12,7,10,23,0,28,1
0,10,1,0,0,0,0,5,0,6,0
0,8,12,0,5,4,4,4,0,10,1
4,17,7,0,0,1,3,8,0,22,1
5,22,11,0,3,4,11,7,0,14,1
5,16,17,0,11,3,5,6,0,15,1
29,257,271,15,161,69,105,131,9,153,1
1,9,11,3,4,4,5,10,0,14,1
4,12,10,2,12,3,5,6,0,8,1
0,30,14,1,5,4,9,11,0,24,0
6,13,11,1,11,3,6,4,0,13,0
1,17,8,1,6,1,7,5,0,12,1
0,4,2,0,0,1,0,2,0,5,1
0,20,11,0,8,8,5,12,0,10,1
3,26,20,1,8,3,7,16,0,32,0
16,123,103,1,53,20,44,59,4,87,1
7,84,103,1,19,13,51,54,2,100,1
1,81,12,0,11,10,10,19,1,60,1
0,0,1,0,1,0,0,0,0,0,1
25,39,27,16,50,21,30,9,0,0,1
8,22,23,2,7,6,10,11,0,19,1
6,61,40,0,18,5,15,38,0,60,1
16,187,129,1,67,18,47,77,5,176,1
13,164,123,1,52,12,62,78,5,127,1
1,3,0,0,2,2,1,2,0,0,0
5,51,23,6,33,28,45,25,1,10,0
7,81,87,2,25,10,31,38,3,98,1
6,43,24,0,11,6,14,18,2,37,0
14,92,16,14,48,20,12,20,3,43,0
0,0,0,0,0,0,0,0,0,0,0
7,59,20,1,26,13,37,26,1,16,1
1,42,5,0,14,10,13,9,0,14,0
4,79,10,2,6,2,13,19,1,59,1
0,0,18,2,11,0,0,6,0,0,1
10,60,31,2,40,18,20,15,1,33,1
11,90,45,4,50,13,33,43,0,31,1
1,1,49,7,36,3,1,1,0,2,1
2,7,12,1,9,0,5,3,0,3,1
26,43,27,16,54,21,29,10,1,2,0
1,5,58,6,33,7,6,7,0,8,1
7,20,15,8,22,9,5,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0
11,28,26,8,45,13,4,8,2,2,1
12,15,23,4,29,17,9,2,0,1,0
4,12,12,7,23,6,3,3,0,0,1
66,149,80,34,153,68,73,39,1,2,1
49,109,33,20,116,75,36,14,1,1,1
95,179,118,49,218,104,83,26,3,5,1
0,2,0,0,0,0,3,0,0,0,1
2,14,2,1,8,1,10,2,0,0,1
4,15,13,3,18,8,8,5,0,0,1
6,24,8,4,29,7,7,7,0,0,0
4,10,6,4,14,7,5,1,0,0,1
9,25,11,6,26,14,5,4,0,0,0
14,12,13,9,23,5,12,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0
9,35,44,8,53,18,19,11,0,1,1
7,16,11,6,19,14,7,0,0,0,1
2,6,5,0,5,1,3,4,0,2,0
0,2,2,0,2,2,2,0,0,0,1
32,53,40,25,76,18,34,8,2,1,1
88,173,113,76,211,99,87,31,1,8,0
92,188,93,36,197,88,93,37,3,10,1
16,38,34,4,58,22,23,4,0,1,1
16,26,22,7,43,13,13,8,0,0,1
6,20,18,7,26,12,7,2,0,0,0
10,17,8,5,20,16,8,1,1,1,0
5,15,13,2,24,9,2,3,1,1,1
4,10,17,3,18,4,5,2,0,0,1
47,50,48,12,90,36,25,4,0,2,0
10,26,25,6,44,13,7,5,0,0,1
14,23,35,7,47,29,7,5,2,0,1
6,11,16,5,17,4,4,2,0,0,1
3,60,166,8,85,18,27,25,2,66,1
1,59,17,0,5,3,12,20,1,62,0
0,0,0,0,0,0,0,0,0,0,0
0,6,1,1,5,0,3,1,0,0,0
0,8,1,0,1,0,3,4,0,1,0
0,8,3,2,2,0,1,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
9,51,41,3,25,11,10,31,5,31,1
0,3,3,2,2,0,1,0,0,0,0
12,521,23,0,36,38,56,95,2,478,0
11,161,10,0,5,3,8,32,1,150,1
43,201,90,59,132,72,48,54,4,88,1
40,227,173,25,223,74,81,59,2,17,1
2,44,12,3,12,6,17,23,2,37,1
3,20,6,0,2,2,3,8,0,24,1
21,213,166,6,89,27,79,109,2,157,1
83,223,100,34,205,107,99,47,2,11,1
0,0,0,0,0,0,0,0,0,0,0
9,171,5,0,6,8,12,24,2,163,1
30,284,248,11,101,45,97,123,5,266,1
2,26,25,2,20,4,10,8,1,17,1
11,89,69,9,37,16,34,36,2,60,1
0,15,13,2,8,3,4,8,0,7,1
10,101,50,5,27,20,34,40,2,74,1
29,373,171,13,89,50,81,139,10,317,1
0,0,0,0,0,0,0,0,0,0,0
7,25,14,1,9,1,9,11,1,18,1
10,118,71,3,41,18,30,67,2,91,1
16,109,104,7,64,16,40,49,2,78,1
6,30,40,3,24,10,14,9,1,21,1
2,10,10,0,6,2,1,8,0,3,1
0,1,0,0,0,0,1,0,0,0,1
7,136,40,2,24,12,20,40,2,139,1
6,35,36,2,25,8,17,16,0,18,1
5,38,30,3,18,12,16,12,0,21,1
12,67,75,6,45,18,34,29,1,37,1
1,15,6,0,5,4,2,5,0,8,1
22,273,187,4,100,40,78,117,5,264,1
6,34,37,1,24,6,17,10,2,28,1
2,37,39,2,19,5,18,18,1,25,1
6,79,69,1,39,13,21,36,2,55,1
9,87,62,3,39,15,26,32,1,69,1
5,20,27,1,8,4,15,9,0,26,1
1,36,30,4,21,6,7,14,2,25,1
1,45,28,1,13,5,7,25,1,43,1
6,83,54,0,20,18,24,29,1,96,1
1,71,13,0,7,6,7,36,1,77,0
12,101,87,1,21,23,36,47,0,134,1
5,31,34,1,3,5,18,18,0,45,1
23,226,128,4,42,32,48,92,7,236,1
0,5,3,0,3,0,3,2,0,2,1
8,274,52,0,21,20,39,67,2,283,1
16,101,84,1,32,17,31,54,1,105,0
10,59,36,4,30,20,23,16,0,30,1
2,11,4,0,8,2,2,2,0,7,1
50,127,69,25,127,64,63,34,0,4,1
15,49,31,4,37,34,25,13,1,5,1
0,4,12,0,9,2,1,3,0,1,1
6,103,17,0,8,4,4,19,1,100,0
0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,2,1,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0
3,35,19,1,10,5,7,23,1,25,0
14,192,58,1,18,11,41,38,6,184,1
13,30,21,6,32,22,17,8,0,5,0
3,20,45,4,23,8,14,15,0,16,1
2,28,20,7,31,10,12,7,0,0,0
4,13,16,3,20,5,4,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0
3,7,10,2,5,2,0,2,0,11,1
1,81,3,28,124,169,181,98,6,27,0
9,200,44,2,29,20,27,46,3,181,1
15,71,54,6,65,26,33,20,0,8,1
0,10,12,0,6,7,9,4,0,4,0
2,23,12,1,12,7,6,10,0,7,1
22,60,33,11,41,36,31,17,0,5,0
10,77,54,11,57,25,33,21,0,12,1
2,13,7,2,5,2,6,8,0,2,1
2,9,7,0,6,3,3,7,0,1,0
0,3,7,0,7,3,2,0,0,2,1
2,8,14,3,6,4,8,4,1,2,1
0,7,12,0,8,1,8,0,0,4,1
0,1,0,0,0,1,1,0,0,0,0
2,5,2,0,2,1,1,3,0,4,1
0,13,7,0,5,6,7,5,0,6,0
1,10,1,0,0,1,4,6,0,3,0
0,3,10,2,4,1,3,1,0,2,1
1,9,7,0,8,1,3,2,0,3,0
1,9,0,0,2,2,1,4,0,3,0
13,31,32,11,51,16,17,8,0,2,1
7,54,76,12,75,15,19,15,1,5,1
5,6,2,0,9,5,5,1,0,2,0
4,10,10,1,16,6,2,3,0,0,0
30,404,119,14,77,53,70,98,6,362,1
30,82,49,20,57,29,34,23,3,6,1
14,47,47,12,51,25,16,11,0,5,1
20,59,56,18,66,32,13,15,3,2,0
24,257,278,31,187,63,101,92,8,111,1
0,9,13,0,8,2,2,5,1,6,1
2,6,8,3,5,5,4,3,0,2,1
3,8,3,0,1,5,3,3,0,5,1
0,2,113,29,69,2,3,7,0,12,1
3,2,5,1,10,4,1,2,0,0,1
17,61,36,23,65,33,26,6,1,1,1
24,214,68,7,121,61,88,68,4,27,1
11,46,32,7,40,22,19,13,1,5,1
23,67,37,16,56,32,23,14,1,8,1
21,64,40,10,64,27,37,15,0,0,1
1,16,12,0,9,4,3,10,0,10,1
5,43,20,0,12,7,16,23,1,29,1
2,28,15,0,5,6,7,12,0,19,0
10,100,87,6,68,13,33,55,3,47,1
0,8,7,0,1,2,4,3,0,7,0
8,44,39,1,28,11,20,27,2,15,1
14,58,63,3,38,13,34,24,2,32,1
3,44,49,4,34,6,11,22,0,19,0
21,170,112,12,96,41,53,76,1,72,1
5,71,43,5,30,13,23,32,0,32,1
7,41,22,3,25,14,16,15,1,13,1
3,17,14,0,4,3,6,11,0,15,1
1,26,8,0,1,3,7,11,0,21,1
1,25,16,0,4,2,9,8,1,30,1
0,17,4,0,2,1,1,4,0,14,1
5,61,13,0,9,6,21,29,2,38,1
0,2,4,0,0,1,0,2,0,5,0
3,27,21,1,15,7,8,19,0,16,1
11,106,53,6,40,26,35,28,1,78,1
4,59,29,4,19,6,15,29,4,22,1
32,185,177,13,107,46,80,67,4,118,1
8,103,77,3,38,17,34,39,2,84,1
7,69,39,2,29,8,25,29,1,35,1
3,40,30,4,16,10,9,14,1,30,1
0,17,19,0,7,6,9,10,0,16,1
6,29,3,0,9,9,4,13,0,3,0
16,133,154,8,91,41,62,59,3,110,1
3,32,28,0,19,4,10,19,1,23,1
20,138,103,18,75,28,52,66,6,58,1
12,162,137,7,62,38,50,82,5,167,1
1,4,6,0,9,0,2,0,0,0,0
22,180,153,8,106,42,70,89,6,113,1
10,105,51,7,54,16,32,38,3,40,1
13,113,78,6,55,17,50,40,3,54,1
15,110,45,3,29,14,27,36,2,73,1
2,13,8,1,5,4,6,5,0,3,0
4,13,9,2,6,5,7,3,0,0,0
2,7,2,1,5,1,0,4,0,3,1
3,9,1,0,7,2,5,0,0,0,1
19,55,27,4,48,34,21,9,2,3,0
12,88,31,9,50,25,30,34,1,12,0
26,193,118,5,84,34,60,75,6,136,1
1,4,2,0,0,2,2,1,1,0,0
0,7,5,1,4,2,2,4,0,2,1
6,46,31,1,25,8,11,20,2,32,1
13,22,23,9,39,9,16,6,1,1,0
5,20,21,2,27,9,19,5,0,3,1
4,16,10,0,14,4,12,5,1,3,1
2,19,12,3,13,6,9,6,0,5,1
0,6,2,2,4,1,0,2,0,1,0
0,10,7,0,5,5,3,3,0,0,0
0,4,3,1,2,1,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
17,68,19,4,40,21,26,19,0,9,0
22,88,42,19,71,40,44,14,1,1,1
13,67,53,11,64,19,25,17,1,3,0
6,28,24,3,34,7,15,5,0,2,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
21,44,47,17,57,20,30,14,0,2,1
15,56,65,13,69,32,30,16,1,1,1
19,60,62,22,62,31,32,22,0,4,1
0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,3,0,0,0,0,0,0
7,23,41,5,34,13,22,5,0,4,1
7,27,21,7,28,13,20,5,0,2,1
30,122,114,29,138,54,55,31,1,3,1
11,56,57,16,65,22,29,10,1,3,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
17,84,50,7,65,20,37,28,2,16,1
0,0,0,0,0,0,0,0,0,0,0
2,36,0,0,3,5,2,5,1,28,0
6,89,2,0,1,2,7,22,3,71,1
2,45,5,0,4,2,5,7,1,46,1
4,149,10,0,2,4,7,27,0,137,1
0,0,0,0,0,0,0,0,0,0,0
34,103,44,12,88,36,51,24,2,11,1
24,44,62,26,77,29,23,6,1,3,1
18,65,43,15,62,32,36,17,0,3,1
2,15,20,5,19,6,3,4,0,4,1
1,12,19,3,20,5,7,1,0,1,0
1,16,12,3,10,8,9,2,0,1,1
0,6,13,1,13,3,4,0,0,1,0
14,57,46,15,55,31,33,13,1,1,1
2,17,18,3,20,6,7,7,1,1,1
0,14,13,3,12,5,6,5,0,1,0
31,108,89,44,117,56,55,23,2,5,1
5,30,21,5,33,12,11,3,0,1,1
23,63,49,19,64,32,37,17,2,5,1
30,139,80,25,125,58,69,36,2,5,1
1,0,0,0,2,1,0,0,0,0,1
13,26,18,8,32,13,15,2,1,2,0
11,42,20,10,36,10,22,8,2,2,1
12,32,21,17,22,22,20,5,2,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
30,49,32,16,60,33,26,10,0,3,1
61,168,86,40,173,91,92,32,2,0,1
4,14,2,3,5,5,6,9,0,3,0
75,264,181,61,257,108,105,60,1,13,1
21,250,51,6,46,23,50,78,4,203,1
5,110,16,0,6,4,14,22,2,104,1
49,186,101,40,164,104,83,42,3,5,1
10,27,23,7,33,6,20,7,0,0,1
15,26,12,9,28,19,21,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
20,287,33,1,19,25,27,83,6,261,1
0,0,0,0,0,0,0,0,0,0,0
0,3,1,0,0,1,0,3,0,4,1
0,0,68,2,31,11,12,10,0,5,1
33,97,61,23,96,60,53,16,2,10,0
33,59,28,15,67,35,37,11,1,0,1
44,89,55,39,105,63,48,16,1,4,1
68,330,45,34,107,72,88,56,8,176,1
1,15,29,2,26,9,2,3,0,2,0
11,164,7,1,14,18,18,43,2,130,1
1,4,4,0,3,2,2,2,0,2,0
1,19,45,1,23,4,8,15,1,12,1
1,1,1,7,7,15,9,1,0,0,1
1,120,43,1,19,12,20,29,1,116,0
14,135,19,0,10,9,16,38,2,145,1
1,117,17,1,10,7,20,25,5,99,1
0,39,5,0,2,6,8,9,1,35,1
0,0,0,0,0,0,0,0,0,0,0
26,303,28,0,14,16,38,68,2,261,1
0,0,0,0,0,0,0,0,0,0,0
11,259,58,2,28,30,50,78,2,245,1
2,97,24,1,6,8,26,22,1,103,1
6,95,9,0,6,12,18,23,1,90,1
16,310,48,0,35,27,62,70,3,296,1
12,204,19,1,25,32,37,43,4,199,0
18,241,39,2,41,35,38,59,5,232,1
3,11,12,1,5,3,4,7,1,9,1
0,0,0,0,0,0,0,0,0,0,0
32,228,230,11,200,60,92,94,2,89,1
1,8,121,27,80,7,2,4,0,3,1
1,18,18,1,15,4,4,10,0,7,1
2,42,34,3,17,5,18,21,0,35,1
11,230,81,1,38,25,39,69,5,199,1
14,197,51,1,24,21,33,61,2,203,1
18,282,34,1,25,41,53,76,2,293,1
12,283,107,75,50,44,59,104,3,282,1
8,238,37,3,29,26,26,55,2,229,0
9,162,23,0,13,25,23,41,3,173,1
2,82,23,1,8,5,15,23,3,82,0
16,201,40,0,21,27,30,61,8,183,1
3,39,9,0,5,4,8,15,0,37,1
2,17,38,0,6,5,14,15,0,20,1
7,247,20,0,22,13,34,73,2,192,0
10,104,36,3,20,18,27,34,3,76,1
9,123,43,0,22,13,28,36,7,106,1
0,0,2,0,2,0,0,0,0,0,0
1,6,18,1,8,5,5,2,0,3,1
0,6,4,0,7,3,0,1,0,2,1
1,5,5,0,2,3,4,2,0,1,1
0,5,7,1,6,0,1,0,0,4,1
1,6,8,1,7,1,2,1,0,4,1
3,7,3,0,3,2,0,5,0,5,1
3,14,5,1,6,4,7,6,0,2,1
2,5,7,0,7,1,1,2,1,3,0
0,16,2,1,2,0,1,9,0,8,0
0,2,0,0,0,0,2,0,1,0,1
4,77,22,1,7,7,14,36,5,64,1
8,166,15,1,14,16,35,47,2,114,0
8,190,15,0,20,9,15,42,3,162,0
4,65,15,0,9,6,11,25,0,62,0
6,1,3,1,3,4,3,2,0,0,0
11,41,69,5,71,15,21,13,0,12,1
9,89,152,4,42,25,43,59,0,101,1
3,56,52,3,26,10,15,23,0,48,1
5,37,36,0,8,15,14,13,0,39,1
0,0,33,0,3,0,7,8,0,15,0
11,165,51,0,25,12,35,58,3,155,1
9,107,74,0,30,9,39,58,1,85,1
14,155,64,1,21,9,34,52,2,178,1
11,102,65,1,14,8,24,33,0,127,1
6,228,23,1,24,31,37,42,8,215,1
4,147,10,1,9,8,15,32,4,139,1
0,0,0,0,0,0,0,0,0,0,0
15,142,64,1,20,15,31,43,2,152,1
3,35,13,2,4,2,6,15,2,37,1
0,0,2,0,0,0,1,1,0,0,0
15,137,72,0,37,14,27,59,4,117,1
25,257,142,1,69,27,85,119,7,190,1
7,50,32,0,11,4,23,12,0,52,1
0,0,0,0,0,0,0,0,0,0,0
5,26,26,3,26,6,7,13,1,9,1
4,28,24,0,17,7,12,10,1,13,1
5,24,23,3,27,12,9,4,0,8,1
8,18,23,2,19,5,8,6,1,10,1
4,10,11,1,11,3,7,3,0,3,1
0,0,0,0,0,0,0,0,0,0,0
3,18,13,2,19,4,9,9,0,1,1
3,4,3,1,2,3,2,2,0,1,1
5,13,2,2,5,3,9,1,0,2,0
4,27,8,3,12,11,18,8,0,1,1
0,2,0,0,2,3,0,0,0,0,0
19,103,24,6,66,26,46,31,2,14,1
20,89,18,6,57,35,54,23,1,6,1
17,39,17,2,31,12,28,13,0,3,1
2,3,2,0,6,2,3,2,0,2,0
8,26,10,3,12,18,13,8,1,2,1
19,48,23,5,35,12,19,15,0,12,1
0,1,1,0,2,0,0,0,0,0,0
16,70,74,8,73,27,27,24,1,10,0
12,70,58,11,68,27,37,20,2,7,1
22,72,28,9,54,37,40,24,0,4,1
12,44,48,13,48,18,29,8,2,6,1
13,124,57,21,92,59,58,25,1,8,1
7,46,7,2,16,22,18,20,2,2,1
9,48,34,3,29,15,22,15,2,8,1
10,28,16,5,21,12,12,10,1,0,1
6,69,20,11,42,29,30,16,1,2,1
8,35,18,5,26,22,17,7,1,4,0
0,0,0,0,0,0,0,0,0,0,0
15,127,89,18,141,52,37,21,0,5,1
0,6,2,0,0,1,2,5,0,6,1
7,52,39,23,57,35,27,9,0,4,1
2,0,3,1,4,0,1,0,0,0,0
2,10,14,6,9,4,7,5,0,3,1
0,16,24,5,22,5,6,4,0,4,1
0,8,13,2,12,4,4,3,0,1,1
0,1,9,0,7,2,3,0,0,1,0
8,25,20,4,28,11,9,5,0,2,1
0,0,0,0,0,0,0,0,0,0,0
3,11,12,1,18,8,7,5,0,1,1
7,28,16,3,23,9,15,9,0,3,1
1,2,11,2,5,3,2,1,0,0,1
13,74,51,6,51,20,44,25,2,13,1
2,12,13,6,10,4,7,2,0,3,1
3,6,6,2,3,10,3,0,0,0,1
1,32,20,2,29,8,5,9,0,5,1
5,70,36,5,54,19,33,21,1,3,1
57,134,75,35,156,73,84,31,2,10,1
1,4,7,3,7,1,1,2,0,0,1
12,17,8,4,12,8,10,7,0,2,1
82,235,110,54,220,134,112,44,2,9,1
46,72,52,34,84,52,40,20,3,5,1
0,0,0,0,0,0,0,0,0,0,0
13,302,17,0,16,9,21,50,8,265,1
0,6,4,0,4,3,0,1,0,2,0
29,32,44,20,79,28,21,10,1,0,1
39,73,16,30,79,44,33,11,0,1,1
0,0,0,0,0,0,0,0,0,0,0
58,128,64,27,119,62,76,24,1,8,0
0,0,0,0,0,0,0,0,0,0,0
16,48,36,20,38,16,31,14,0,1,1
19,420,26,1,19,11,36,91,13,340,0
25,59,21,11,65,23,24,7,1,0,0
36,126,59,24,123,69,66,25,2,3,1
30,152,38,34,76,55,43,27,7,44,1
0,0,0,0,0,0,0,0,0,0,0
109,244,128,63,255,158,107,37,2,6,1
0,0,0,0,0,0,0,0,0,0,0
18,447,14,0,16,15,24,68,10,398,1
5,31,19,1,11,4,7,14,1,26,1
6,22,20,2,10,8,7,10,1,24,1
4,55,23,0,11,8,13,18,2,46,0
0,0,0,0,0,0,0,0,0,0,0
1,17,9,0,2,0,2,13,0,16,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
7,59,39,0,14,6,10,28,0,64,0
1,22,12,0,7,3,4,8,3,16,1
14,91,39,5,23,12,13,39,0,62,1
1,27,6,0,4,2,7,7,0,15,0
10,64,19,2,19,9,16,26,2,38,1
10,101,65,3,30,15,30,41,4,80,1
11,112,29,6,27,13,22,37,3,85,0
4,73,42,1,23,5,16,23,0,57,1
1,31,24,1,20,4,18,7,0,22,1
11,98,56,7,31,16,23,34,1,82,0
8,82,43,3,30,15,17,26,1,58,1
7,98,34,3,20,17,20,44,2,65,0
3,27,18,1,12,5,5,14,4,19,0
1,9,4,0,3,0,1,3,0,6,1
0,5,1,0,0,2,0,1,0,3,0
1,2,4,0,1,1,3,3,0,1,1
19,194,100,10,68,33,53,64,3,141,1
6,43,26,3,27,8,7,15,0,22,1
11,128,103,3,64,24,37,42,3,97,1
5,26,19,1,19,3,9,16,0,15,1
7,51,27,5,20,9,11,17,3,27,1
2,7,2,1,2,0,3,1,0,7,0
2,6,4,0,1,0,2,1,0,7,0
2,26,11,0,4,6,6,7,1,22,1
0,0,0,0,0,0,0,0,0,0,0
0,8,3,0,3,0,1,3,0,5,0
0,0,0,0,0,0,0,0,0,0,0
1,20,3,0,0,1,7,6,0,20,0
3,20,11,1,15,3,7,7,0,7,0
3,35,18,2,13,7,10,9,0,25,1
9,65,48,3,48,13,26,24,4,21,1
5,21,17,3,17,5,6,8,0,9,1
0,1,2,1,0,1,0,0,0,0,0
0,22,8,1,6,4,7,5,1,9,0
1,19,8,0,3,0,3,9,1,21,1
0,0,0,0,1,0,0,0,0,0,1
4,23,13,2,9,6,8,11,1,15,1
0,0,0,0,0,0,0,0,0,0,0
2,16,4,1,1,0,1,9,1,13,0
4,8,4,0,5,9,13,3,1,3,1
0,1,0,0,0,0,2,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
2,47,24,2,26,7,15,14,1,17,1
5,51,32,2,31,12,11,16,1,29,1
1,1,0,0,2,0,0,0,1,0,1
5,18,13,4,15,3,3,8,0,6,1
0,10,2,0,3,4,1,6,0,1,1
0,0,0,0,0,0,0,0,0,0,0
4,22,24,4,17,8,12,4,1,5,1
1,27,14,0,16,1,9,9,0,5,0
0,3,3,0,3,0,0,0,0,3,0
0,11,13,1,8,3,2,5,0,1,1
2,27,28,3,31,5,9,9,0,7,1
1,5,5,1,5,0,1,2,0,4,0
8,26,23,7,15,6,16,15,2,11,1
1,5,2,0,2,1,2,1,1,3,1
0,4,1,1,3,0,0,0,0,2,0
3,20,11,2,12,2,9,9,0,2,0
4,19,11,0,11,4,7,9,2,7,0
7,18,10,4,9,4,8,9,0,9,0
0,12,15,1,13,3,2,3,1,3,1
0,5,21,4,13,0,3,2,0,2,1
6,16,20,3,14,5,7,5,1,15,1
0,37,6,3,8,0,2,4,0,30,0
2,12,9,0,3,0,1,3,1,17,1
0,4,2,0,2,0,0,0,0,4,0
2,32,9,0,5,2,7,8,0,35,1
4,34,12,1,13,8,3,13,1,19,0
3,33,23,2,36,8,6,4,1,14,1
1,43,30,3,27,10,13,17,0,20,1
11,41,17,2,20,6,15,17,1,19,1
3,10,3,0,3,5,3,2,0,2,1
4,25,0,0,0,2,3,5,0,22,0
4,16,9,1,4,4,5,7,1,8,0
1,11,19,2,15,2,4,4,0,5,1
5,24,15,0,23,4,4,10,0,9,1
2,17,18,1,19,5,3,4,1,6,0
0,12,3,0,7,2,2,1,0,5,1
5,28,16,5,21,5,8,6,0,16,1
2,26,29,4,24,4,8,10,2,8,0
0,8,2,0,4,1,1,5,0,4,0
2,33,20,6,17,8,12,9,0,14,1
0,0,0,0,0,0,0,0,0,0,0
5,28,13,2,11,4,8,11,2,23,0
6,22,13,1,6,6,13,6,1,14,1
3,65,13,0,10,7,12,12,0,61,0
1,30,10,0,4,2,4,9,1,42,1
0,6,3,0,2,0,1,4,0,4,0
3,32,12,1,7,5,11,9,2,29,1
1,11,6,1,4,1,1,2,0,11,0
3,94,33,3,31,13,31,25,2,60,1
21,42,30,15,38,28,30,10,1,4,1
4,87,127,10,77,18,39,34,0,53,1
48,230,153,13,139,61,95,76,7,111,1
33,164,107,9,100,57,65,54,3,57,1
8,74,48,5,58,29,16,19,1,41,0
8,91,60,5,57,14,31,26,1,35,1
18,140,63,3,63,29,47,47,2,64,0
10,71,51,5,47,19,20,28,2,27,1
3,18,15,5,15,6,10,5,0,3,1
8,30,24,3,24,8,19,10,2,2,1
5,45,51,3,36,11,17,16,1,24,1
