Desempregados,Empregados,Pensionistas,Analfabetos,1Ciclo,2Ciclo,3Ciclo,EnsinoSec,EnsinoPosSec,CursoSup,M
1,7,8,0,10,1,4,5,1,0,1
14,60,76,7,80,19,30,15,4,8,0
0,0,1,0,1,0,0,0,0,0,0
2,21,10,0,7,6,11,7,1,8,1
1,15,18,3,12,4,8,7,0,5,1
0,13,4,0,2,2,4,5,1,5,1
0,11,9,1,6,5,5,3,0,2,1
1,16,14,0,9,6,12,6,0,11,1
0,0,0,0,0,0,0,0,0,0,0
0,6,9,0,4,1,7,1,0,3,1
0,4,6,0,2,1,3,6,0,1,1
0,3,5,0,4,0,2,0,0,2,0
1,11,2,0,2,5,3,7,0,3,0
0,3,3,0,1,1,1,0,0,3,0
0,1,7,1,3,1,0,3,0,2,1
1,5,2,0,3,1,3,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,5,0,6,2,0,2,0,0,0
0,2,1,0,2,0,2,0,0,0,0
2,8,12,1,12,3,2,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0
19,70,38,20,57,37,30,14,0,1,1
24,98,71,29,98,43,46,8,0,1,1
10,51,26,16,28,17,20,7,1,4,0
21,100,58,14,76,34,54,22,1,10,1
13,36,33,5,39,23,18,17,0,4,0
12,56,67,13,62,19,35,20,1,5,0
6,36,35,3,38,10,17,16,0,5,1
4,45,35,9,30,11,24,14,2,5,1
1,11,11,2,11,0,5,2,0,6,1
8,39,43,4,40,18,35,13,0,2,0
4,16,14,3,11,4,5,14,1,3,1
3,15,21,4,17,5,10,5,0,5,1
8,88,59,10,53,19,40,30,1,16,1
20,55,41,4,65,33,19,23,1,5,1
11,54,40,6,48,18,23,19,1,8,1
5,25,21,7,26,7,13,7,2,1,1
5,31,9,3,10,8,12,8,0,10,0
2,67,25,3,18,8,17,30,1,38,1
7,87,58,3,41,14,30,32,1,47,1
3,35,38,1,24,9,20,18,0,23,1
0,20,11,0,6,3,6,4,1,13,1
15,84,97,16,45,34,45,38,1,50,0
2,32,9,2,10,3,9,17,1,8,0
4,55,43,0,22,12,19,28,0,50,1
5,33,22,6,9,3,13,8,1,23,1
1,3,9,0,4,0,3,3,0,3,1
11,105,94,5,60,32,63,37,3,44,1
14,74,49,0,19,12,29,31,5,66,1
2,5,7,1,0,3,4,2,0,4,1
9,197,14,0,13,8,19,27,4,183,0
3,11,7,0,9,3,3,1,1,5,1
2,14,7,1,10,3,6,9,0,5,1
5,80,23,2,17,5,10,11,0,69,1
17,149,154,8,92,28,67,61,4,103,1
12,108,80,1,40,18,39,38,2,97,1
8,65,69,3,37,10,27,22,3,47,1
